"";"Species";"Source";"Dataset";"Frequency"
"1";"Tamias sibiricus (Laxmann, 1769)";"DEMNA-SPW";"Encodage en ligne OFFH";1
"2";"Tamias sibiricus (Laxmann, 1769)";"DEMNA-SPW";"Invasives obs.be";39
"3";"Tamias sibiricus (Laxmann, 1769)";"Natuurpunt Zoogdierenwerkgroep Vlaanderen";"INBODATAVR119_divers_ZoogdierendbExtra_NieuweEU-regulatieExoten";35
"4";"Tamias sibiricus (Laxmann, 1769)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";762
"5";"Baccharis halimifolia L.";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";60
"6";"Baccharis halimifolia L.";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";53
"7";"Callosciurus erythraeus (Pallas, 1779)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";12
"8";"Eichhornia crassipes (Mart.) Solms";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";6
"9";"Eichhornia crassipes (Mart.) Solms";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";4
"10";"Hydrocotyle ranunculoides L. fil.";"Unknown";"MF1";2
"11";"Hydrocotyle ranunculoides L. fil.";"INBO";"opnames voor habitat 3260-kartering";14
"12";"Hydrocotyle ranunculoides L. fil.";"INBO";"opnames voor rapportage KRW";35
"13";"Hydrocotyle ranunculoides L. fil.";"INBO";"invasive-other-occurrences";5
"14";"Hydrocotyle ranunculoides L. fil.";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";12
"15";"Hydrocotyle ranunculoides L. fil.";"Provincie Oost-Vlaanderen - dienst Integraal Waterbeleid";"shpexotenoostvlaanderen";43
"16";"Hydrocotyle ranunculoides L. fil.";"VMM | INBO";"Databank macrofyten in waterlopen";55
"17";"Hydrocotyle ranunculoides L. fil.";"Provincie Limburg - dienst waterlopen";"waarnemingen_InvasieveExoten_v2";23
"18";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Encodage en ligne OFFH";52
"19";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Enquetes OFFH";20
"20";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Contrats Rivières";13
"21";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Rinse";2
"22";"Hydrocotyle ranunculoides L. fil.";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";108
"23";"Lagarosiphon major (Ridl.) Moss";"INBO";"opnames voor monitoring habitat 3260";1
"24";"Lagarosiphon major (Ridl.) Moss";"INBO";"invasive-other-occurrences";2
"25";"Lagarosiphon major (Ridl.) Moss";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";23
"26";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Encodage en ligne OFFH";5
"27";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Enquetes OFFH";2
"28";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Flore OFFH and Co";1
"29";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Contrats Rivières";4
"30";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Invasives obs.be";2
"31";"Lagarosiphon major (Ridl.) Moss";"VMM | INBO";"Databank macrofyten in waterlopen";1
"32";"Lagarosiphon major (Ridl.) Moss";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";48
"33";"Lithobates catesbeianus (Shaw, 1802)";"HYLA";"INBODATAVR119_divers_HYLA_NieuweEU-RegulatieExoten_GIS_font_point";355
"34";"Lithobates catesbeianus (Shaw, 1802)";"DEMNA-SPW";"Encodage en ligne OFFH";8
"35";"Lithobates catesbeianus (Shaw, 1802)";"DEMNA-SPW";"Enquetes OFFH";8
"36";"Lithobates catesbeianus (Shaw, 1802)";"DEMNA-SPW";"BD Herpéto";6
"37";"Lithobates catesbeianus (Shaw, 1802)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";404
"38";"Lithobates catesbeianus (Shaw, 1802)";"INBO";"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium";1996
"39";"Lithobates catesbeianus (Shaw, 1802)";"iNaturalist";"iNaturalist research-grade observations";1
"40";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"Unknown";"MF2";2
"41";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"opnames voor habitat 3260-kartering";5
"42";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"opnames voor rapportage KRW";27
"43";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"opnames voor monitoring habitat 3260";1
"44";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"invasive-other-occurrences";2
"45";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";184
"46";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"VMM | INBO";"Databank macrofyten in waterlopen";33
