"";"Species";"Source";"Dataset";"Frequency"
"1";"Baccharis halimifolia L.";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";60
"2";"Baccharis halimifolia L.";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";49
"3";"Callosciurus erythraeus (Pallas, 1779)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";12
"4";"Eichhornia crassipes (Mart.) Solms";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";6
"5";"Eichhornia crassipes (Mart.) Solms";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";4
"6";"Hydrocotyle ranunculoides L. fil.";"Unknown";"MF1";2
"7";"Hydrocotyle ranunculoides L. fil.";"INBO";"opnames voor habitat 3260-kartering";14
"8";"Hydrocotyle ranunculoides L. fil.";"INBO";"opnames voor rapportage KRW";35
"9";"Hydrocotyle ranunculoides L. fil.";"INBO";"invasive-other-occurrences";5
"10";"Hydrocotyle ranunculoides L. fil.";"Provincie Oost-Vlaanderen - dienst Integraal Waterbeleid";"shpexotenoostvlaanderen";43
"11";"Hydrocotyle ranunculoides L. fil.";"VMM | INBO";"Databank macrofyten in waterlopen";55
"12";"Hydrocotyle ranunculoides L. fil.";"Provincie Limburg - dienst waterlopen";"waarnemingen_InvasieveExoten_v2";23
"13";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Encodage en ligne OFFH";52
"14";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Enquetes OFFH";20
"15";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Contrats Rivières";13
"16";"Hydrocotyle ranunculoides L. fil.";"DEMNA-SPW";"Rinse";2
"17";"Hydrocotyle ranunculoides L. fil.";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";108
"18";"Lagarosiphon major (Ridl.) Moss";"INBO";"opnames voor monitoring habitat 3260";1
"19";"Lagarosiphon major (Ridl.) Moss";"INBO";"invasive-other-occurrences";2
"20";"Lagarosiphon major (Ridl.) Moss";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";22
"21";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Encodage en ligne OFFH";5
"22";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Enquetes OFFH";2
"23";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Flore OFFH and Co";1
"24";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Contrats Rivières";4
"25";"Lagarosiphon major (Ridl.) Moss";"DEMNA-SPW";"Invasives obs.be";2
"26";"Lagarosiphon major (Ridl.) Moss";"VMM | INBO";"Databank macrofyten in waterlopen";1
"27";"Lagarosiphon major (Ridl.) Moss";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";48
"28";"Lithobates catesbeianus (Shaw, 1802)";"HYLA";"INBODATAVR119_divers_HYLA_NieuweEU-RegulatieExoten_GIS_font_point";355
"29";"Lithobates catesbeianus (Shaw, 1802)";"DEMNA-SPW";"Encodage en ligne OFFH";8
"30";"Lithobates catesbeianus (Shaw, 1802)";"DEMNA-SPW";"Enquetes OFFH";8
"31";"Lithobates catesbeianus (Shaw, 1802)";"DEMNA-SPW";"BD Herpéto";6
"32";"Lithobates catesbeianus (Shaw, 1802)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";404
"33";"Lithobates catesbeianus (Shaw, 1802)";"INBO";"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium";1996
"34";"Lithobates catesbeianus (Shaw, 1802)";"iNaturalist";"iNaturalist research-grade observations";1
"35";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"Unknown";"MF2";2
"36";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"opnames voor habitat 3260-kartering";5
"37";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"opnames voor rapportage KRW";27
"38";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"opnames voor monitoring habitat 3260";1
"39";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"invasive-other-occurrences";2
"40";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";176
"41";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"VMM | INBO";"Databank macrofyten in waterlopen";33
"42";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"Provincie Oost-Vlaanderen - dienst Integraal Waterbeleid";"shpexotenoostvlaanderen";3
"43";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"DEMNA-SPW";"Encodage en ligne OFFH";20
"44";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"DEMNA-SPW";"Enquetes OFFH";7
"45";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"DEMNA-SPW";"Flore OFFH and Co";1
"46";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"DEMNA-SPW";"Contrats Rivières";1
"47";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"DEMNA-SPW";"Invasives obs.be";1
"48";"Ludwigia grandiflora (Michaux) Greuter & Burdet";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";96
"49";"Ludwigia peploides (Kunth) P. H. Raven";"INBO";"opnames voor habitat 3260-kartering";3
"50";"Ludwigia peploides (Kunth) P. H. Raven";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";7
"51";"Ludwigia peploides (Kunth) P. H. Raven";"Provincie Oost-Vlaanderen - dienst Integraal Waterbeleid";"shpexotenoostvlaanderen";1
"52";"Ludwigia peploides (Kunth) P. H. Raven";"VMM | INBO";"Databank macrofyten in waterlopen";3
"53";"Ludwigia peploides (Kunth) P. H. Raven";"DEMNA-SPW";"Encodage en ligne OFFH";8
"54";"Ludwigia peploides (Kunth) P. H. Raven";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";19
"55";"Lysichiton americanus Hultén & H.St.John";"DEMNA-SPW";"Encodage en ligne OFFH";5
"56";"Lysichiton americanus Hultén & H.St.John";"DEMNA-SPW";"Enquetes OFFH";1
"57";"Lysichiton americanus Hultén & H.St.John";"DEMNA-SPW";"Rinse";10
"58";"Lysichiton americanus Hultén & H.St.John";"DEMNA-SPW";"Invasives obs.be";13
"59";"Lysichiton americanus Hultén & H.St.John";"DEMNA-SPW";"Contrats Rivières";2
"60";"Lysichiton americanus Hultén & H.St.John";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";19
"61";"Lysichiton americanus Hultén & H.St.John";"iNaturalist";"iNaturalist research-grade observations";1
"62";"Muntiacus reevesi (Ogilby, 1839)";"DEMNA-SPW";"Enquetes OFFH";2
"63";"Muntiacus reevesi (Ogilby, 1839)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";66
"64";"Muntiacus reevesi (Ogilby, 1839)";"INBO";"invasive-other-occurrences";90
"65";"Myocastor coypus (Molina, 1782)";"DEMNA-SPW";"Encodage en ligne OFFH";2
"66";"Myocastor coypus (Molina, 1782)";"DEMNA-SPW";"Invasives obs.be";42
"67";"Myocastor coypus (Molina, 1782)";"DEMNA-SPW";"Enquetes OFFH";2
"68";"Myocastor coypus (Molina, 1782)";"Natuurpunt Zoogdierenwerkgroep Vlaanderen";"INBODATAVR119_divers_ZoogdierendbExtra_NieuweEU-regulatieExoten";4
"69";"Myocastor coypus (Molina, 1782)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";84
"70";"Myriophyllum aquaticum (Vellozo) Verdcourt";"INBO";"Ecologische inventarisatie en -visievorming van de Begijnenbeek";2
"71";"Myriophyllum aquaticum (Vellozo) Verdcourt";"INBO";"opnames voor habitat 3260-kartering";8
"72";"Myriophyllum aquaticum (Vellozo) Verdcourt";"INBO";"opnames voor rapportage KRW";10
"73";"Myriophyllum aquaticum (Vellozo) Verdcourt";"INBO";"invasive-other-occurrences";4
"74";"Myriophyllum aquaticum (Vellozo) Verdcourt";"INBO";"FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)";557
"75";"Myriophyllum aquaticum (Vellozo) Verdcourt";"VMM | INBO";"Databank macrofyten in waterlopen";18
"76";"Myriophyllum aquaticum (Vellozo) Verdcourt";"Provincie Limburg - dienst waterlopen";"waarnemingen_InvasieveExoten_v2";9
"77";"Myriophyllum aquaticum (Vellozo) Verdcourt";"DEMNA-SPW";"Encodage en ligne OFFH";18
"78";"Myriophyllum aquaticum (Vellozo) Verdcourt";"DEMNA-SPW";"Enquetes OFFH";14
"79";"Myriophyllum aquaticum (Vellozo) Verdcourt";"DEMNA-SPW";"Contrats Rivières";6
"80";"Myriophyllum aquaticum (Vellozo) Verdcourt";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";145
"81";"Myriophyllum aquaticum (Vellozo) Verdcourt";"Provincie Oost-Vlaanderen - dienst Integraal Waterbeleid";"shpexotenoostvlaanderen";7
"82";"Orconectes limosus (Rafinesque, 1817)";"DEMNA-SPW";"Encodage en ligne OFFH";17
"83";"Orconectes limosus (Rafinesque, 1817)";"DEMNA-SPW";"Ecrevisses invasives";229
"84";"Orconectes limosus (Rafinesque, 1817)";"DEMNA-SPW";"Contrats Rivières";6
"85";"Orconectes limosus (Rafinesque, 1817)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";54
"86";"Orconectes limosus (Rafinesque, 1817)";"INBO";"invasive-other-occurrences";194
"87";"Orconectes limosus (Rafinesque, 1817)";"INBO";"VIS - Estuarine post 2013 Monitoring, Belgium";2
"88";"Orconectes limosus (Rafinesque, 1817)";"INBO";"VIS - Reference Freshwater Fishes Monitoring, Belgium";48
"89";"Orconectes limosus (Rafinesque, 1817)";"INBO";"VIS - Fishes in estuarine waters in Flanders, Belgium";13
"90";"Orconectes limosus (Rafinesque, 1817)";"INBO";"VIS - Fishes in inland waters in Flanders, Belgium";116
"91";"Orconectes limosus (Rafinesque, 1817)";"INBO";"Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium";328
"92";"Orconectes limosus (Rafinesque, 1817)";"INBO";"Alien macro-invertebrates in Flanders, Belgium";196
"93";"Orconectes limosus (Rafinesque, 1817)";"Unknown";"Unknown";2
"94";"Orconectes limosus (Rafinesque, 1817)";"Diveboard";"Diveboard - Scuba diving citizen science";5
"95";"Pacifastacus leniusculus (Dana, 1852)";"DEMNA-SPW";"Encodage en ligne OFFH";22
"96";"Pacifastacus leniusculus (Dana, 1852)";"DEMNA-SPW";"Aquabio invasives";1
"97";"Pacifastacus leniusculus (Dana, 1852)";"DEMNA-SPW";"Ecrevisses invasives";527
"98";"Pacifastacus leniusculus (Dana, 1852)";"DEMNA-SPW";"Enquetes OFFH";2
"99";"Pacifastacus leniusculus (Dana, 1852)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";61
"100";"Pacifastacus leniusculus (Dana, 1852)";"INBO";"invasive-other-occurrences";1
"101";"Parthenium hysterophorus L.";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";1
"102";"Procambarus clarkii (Girard, 1852)";"DEMNA-SPW";"Enquetes OFFH";5
"103";"Procambarus clarkii (Girard, 1852)";"DEMNA-SPW";"Ecrevisses invasives";75
"104";"Procambarus clarkii (Girard, 1852)";"Natuurpunt";"INBODATAVR119_divers_wbe_NieuweEU-regulatieExoten";27
"105";"Procambarus clarkii (Girard, 1852)";"INBO";"invasive-other-occurrences";12
"106";"Procambarus clarkii (Girard, 1852)";"INBO";"VIS - Reference Freshwater Fishes Monitoring, Belgium";2
"107";"Procambarus clarkii (Girard, 1852)";"INBO";"VIS - Fishes in inland waters in Flanders, Belgium";3
